craft_element_id,craft_uid,sitecore_item_id,section,entry_type,slug,craft_uri
24362980,ca5ce729-bdd8-456a-8f7c-37b98a55e3cd,089488c1-eac4-4097-aaaa-ab92d84d2949,courses,courses,allure-gravity,collections/allure-gravity
106030,c3a4eafe-1953-4bd7-988c-d26878f2c821,4a1d30fb-80bd-4bd1-9ca2-3e0172948e34,courses,courses,allure-landingpage,collections/allure-landingpage
24492841,8082a493-89ce-494c-b1e3-7441ad59002d,4f33eb32-db06-47ea-859c-46cf8ce8e0ee,courses,courses,aqua-tiles,collections/aqua-tiles
8626299,c213fad3-c6e8-4483-9687-87f11d67f7c4,78c1112f-bf72-43d7-9951-6ba8f5fb37db,courses,courses,atrio,collections/atrio
582757,5127f21a-c1ce-4e1b-b15d-79142b9169a1,b9f3ab05-2246-44bc-a29e-286da1e9b777,courses,courses,bau-cosmopolitan-e-installation-overview,collections/bau-cosmopolitan-e-installation-overview
333756,51fb7288-83d3-441b-a5f2-23467ec253f4,43e120bb-ff59-4a6c-8e4a-6cda5a39bf5b,courses,courses,body-sprays-landingpage,collections/body-sprays-landingpage
109347,a98c4d14-a160-449a-99f6-3b8ca51b77ae,ade2d665-66e4-48fa-8e30-b43dd016b014,courses,courses,brand-trainingspage,collections/brand-trainingspage
5578393,fef32aaa-8efb-4c26-b9cc-17e5b762caaa,31ed70f1-1356-4d6c-a33d-b4e8bdf5a494,courses,courses,compact-trainings-lt-22-02-23,collections/compact-trainings-lt-22-02-23
23057726,156a48e2-6e60-4f17-b7dc-94fc92d6cb6f,fd9c8fd4-eb12-47b8-b39b-ac84e1081011,courses,courses,cubeo,collections/cubeo
24523175,707b21f9-4e37-4ac1-b69a-c9343f472c6f,814af29a-7e2f-4639-b0e4-b01d58844a19,courses,courses,dice,collections/dice
24400474,f2548861-2ecd-4499-bb36-6e6c8c333267,4437811e-0de6-459f-9fa4-b09b8a680fdf,courses,courses,essence-crafted-lever,collections/essence-crafted-lever
23514612,44dafd57-259d-4890-8cf7-0cff087cd951,41b5681c-7c3b-4d4c-94aa-c5d23afd3481,courses,courses,everstream,collections/everstream
21456410,de77a270-0d92-4ef9-8e34-fc49b7c4922d,f2db06c3-cb52-42a3-b69f-b986f658947d,courses,courses,flushing-systems-installtion-overview,collections/flushing-systems-installtion-overview
2057367,aa5fbfcb-6b58-4653-a588-01d96ffd59df,876fd4d0-6131-4b5b-8c69-d9e209844784,courses,courses,getting-to-know-companion,collections/getting-to-know-companion
546817,cf9df6db-2529-404c-bfd0-5a578a5c6556,60fc540b-8665-4bbe-9dae-1d3e7096cb4d,courses,courses,grohe-bau-cosmopolitan-e,collections/grohe-bau-cosmopolitan-e
9051069,2a0d729b-47e8-4c92-b689-1da60a0851d0,a38128cb-c434-4585-ae66-1d7379303245,courses,courses,grohe-blue-pure,collections/grohe-blue-pure
20994137,c1dc3fd5-0dd6-4142-bcf1-bc92ff6c6456,27c8ea80-9e37-48bc-8490-f4bc34fbfedb,courses,courses,grohe-blue-pure-installation-overview,collections/grohe-blue-pure-installation-overview
24371730,de4bb472-ca13-4404-9ee1-5cca349b7778,d7e505d6-3bec-4d8d-b587-5de83a462661,courses,courses,grohe-ceramics-basics,collections/grohe-ceramics-basics
20646036,cf53b194-95ca-4fcc-9be3-a35cfd8bf247,7ccd0fdf-aecc-4b03-bf33-671ef36b52e6,courses,courses,grohe-colours-surfaces,collections/grohe-colours-surfaces
8868053,597ec4c7-3b59-4d3a-8a73-74eb4d9057cd,a0d7e0f0-21ce-47e6-bf65-0e65604d124c,courses,courses,grohe-euphoria-system,collections/grohe-euphoria-system
9021917,d923cb0a-aa93-4524-b2e6-98b18dcf3691,cadcf012-c07f-4a6e-a51a-79cad507ca15,courses,courses,grohe-euphoria-system-installation-overview,collections/grohe-euphoria-system-installation-overview
23632728,30c1baa3-980b-4dbf-8a51-35addb11c86f,3702c1e4-7753-4071-a74d-739699337cfb,courses,courses,grohe-everstream,collections/grohe-everstream
11876861,85b4e75a-66d8-4496-b66d-7afafda4e5e3,1f43ebe9-f1a0-4f8f-8e64-c53e7b8bf0db,courses,courses,grohe-filtration-technologies,collections/grohe-filtration-technologies
23506162,35cb0338-9787-4a9d-8733-444644ba4f5a,08c00152-6aec-41a0-9686-6c5709e6cb95,courses,courses,grohe-installation-landingpage,collections/grohe-installation-landingpage
24453503,ded00880-673c-4e8c-99a2-f7b6433d08e3,7490fd19-1a2a-4a6f-ad0d-96e50fd25a94,courses,courses,grohe-plus,collections/grohe-plus
580017,b11dc62e-99eb-447d-9436-97677ddb023b,305040d9-bd2f-4048-add9-b0d1520b13e0,courses,courses,grohe-professional-landingpage,collections/grohe-professional-landingpage
8835422,3da58ce7-1a42-444d-8d5a-77e34212df96,2b17f7c0-0df1-4dde-aea5-db731a7243a6,courses,courses,grohe-quickfix-landingpage,collections/grohe-quickfix-landingpage
8752733,1367da42-0bfc-4401-af95-a58fc76f11b7,9922795e-8bac-466b-a7f1-47e2cc248784,courses,courses,grohe-quickglue,collections/grohe-quickglue
9648218,8a7796c0-aa55-4923-9c82-43d8de4a0e30,c4dbd8a2-68c6-4e79-ac77-588e95d3a575,courses,courses,grohe-rainshower-aqua-ceiling-shower-elements,collections/grohe-rainshower-aqua-ceiling-shower-elements
11384254,9ea410e7-3685-445f-a474-72507978ecbc,4319e25c-9bfa-4c6d-aafc-9ed3982e06ad,courses,courses,grohe-rainshower-aqua-ceiling-shower-elements-installation,collections/grohe-rainshower-aqua-ceiling-shower-elements-installation
24478654,ef17fd69-c547-4ac6-b482-896441075951,b6aaee38-ea14-49dc-a8db-a37aded28451,courses,courses,grohe-rapido-shower-frame-heat-recovery,collections/grohe-rapido-shower-frame-heat-recovery
16347631,fb1ee4e6-4213-45a7-9961-2b92f20f3106,c3b22c4c-da6e-4397-9331-3b4a60b72ac1,courses,courses,grohe-rapido-smartbox,collections/grohe-rapido-smartbox
16660682,bb2a866b-7900-4825-8a5f-706c4bb04d3c,5a87e86a-5085-4727-8772-718137fe4bd0,courses,courses,grohe-rapido-smartbox-installation-overview,collections/grohe-rapido-smartbox-installation-overview
509348,3f0aa666-1556-41fb-b48c-2c6a3523859c,44655e72-d5bc-420a-9869-b05c2f220c33,courses,courses,grohe-rapid-slx,collections/grohe-rapid-slx
581328,4009fcb2-0ed9-48ba-87e7-77f865b0e6ca,af1df3c6-17af-4cd4-94cd-282aabfc296d,courses,courses,grohe-sales-support-landingpage,collections/grohe-sales-support-landingpage
23506369,062edad2-19a6-4060-998f-b9636943dea4,55f20f97-a3c7-4aa3-9518-ac702eb252b1,courses,courses,grohe-sales-support-landingpage-2,collections/grohe-sales-support-landingpage-2
493826,2f6d7bad-f866-4a9a-8226-50f6ac44ecfd,aae03fdc-fd94-47a1-9a20-80ab97879c71,courses,courses,grohe-sensia-arena,collections/grohe-sensia-arena
16683140,258de659-d4c2-498a-8945-22f0fd7d2121,cac76750-7acc-4efb-8b35-dc166666bc08,courses,courses,grohe-smartcontrol,collections/grohe-smartcontrol
16817095,c04f072f-1409-48e6-ba0a-ae3d0f9cb07e,78edc368-bc54-458c-b16e-b2efe9b7ea83,courses,courses,grohe-smartcontrol-installation-overview,collections/grohe-smartcontrol-installation-overview
581512,34fb9119-e321-4ff6-be08-618999d3c733,e74a77ee-001b-48b8-b146-a3583c29a6c3,courses,courses,grohe-spa-landingpage,collections/grohe-spa-landingpage
16517025,5966fbf0-81a7-4f54-88e5-4f6ade40e650,650ae95d-7e8b-4fcb-89b7-e41ac1d3c3b3,courses,courses,grohe-tempesta-110,collections/grohe-tempesta-110
16661718,96efb830-657f-4775-84e5-e936b14afdb6,165677f8-297a-44eb-80c2-f60b97e1fad1,courses,courses,grohe-vitalio-110,collections/grohe-vitalio-110
8936919,98d181dc-0056-4894-b245-f95974ac5ca5,d25b7f0e-1947-48d4-bcb2-13d279e06ff6,courses,courses,grohe-watersystems-landingpage,collections/grohe-watersystems-landingpage
21457061,75ad7fd6-64ad-488f-bdea-b73d4f3d8356,4ee0aee1-4cdd-43ed-ac7b-822fea5c6501,courses,courses,installation-systems,collections/installation-systems
23629871,0eb7f5bc-8b21-495b-b5f3-9e8c03796d23,ad25427f-2776-405c-8cb7-b9406da6d32b,courses,courses,ish,collections/ish
568747,da9a74eb-a581-4b4d-88f7-245e50344e66,c7319899-4083-41a8-bbbc-0e02cca07afb,courses,courses,landingpage-installer,collections/landingpage-installer
23632718,222a0e9a-0a42-43a7-b962-86703e71f6be,aeaee5f4-dbff-4557-834d-50075ddfaa25,courses,courses,purefoam,collections/purefoam
23754025,b8fbf755-3b81-4fea-bd64-df0e89a1f493,7afc3b31-860a-429c-84b0-c86abc800b0b,courses,courses,purefoam-installation,collections/purefoam-installation
582907,142ff556-b49f-47b1-be6c-9ffb7ea06c40,3404225d-4779-474f-b489-f38ea90880f0,courses,courses,rainshower-aqua-body-sprays-installation-overview,collections/rainshower-aqua-body-sprays-installation-overview
23003074,b7b5473c-13e6-4155-bb96-67097e2b3642,ac2b77e9-f837-4c8e-9e41-4447fa046cf0,courses,courses,rainshower-aqua-pure,collections/rainshower-aqua-pure
23248455,4ace42b8-982f-4dbe-9ac0-4d3fe353674e,e7551585-10f2-498e-9b8b-28bb0de364a4,courses,courses,rainshower-aqua-pure-installation-overview,collections/rainshower-aqua-pure-installation-overview
22458275,34fe01cd-b4ea-4aee-ad94-8c13827bb975,ed0a95cf-e1f7-43fd-bff2-80e6a60110ea,courses,courses,rapido-shower-frame,collections/rapido-shower-frame
24538609,18898eb7-b1f9-4f86-9e14-4f3e53841b2a,b0118282-8c68-473d-a9b6-fa9d6256da4b,courses,courses,rapido-shower-frame-heat-recovery-installation,collections/rapido-shower-frame-heat-recovery-installation
22474504,1801dc16-a195-4ca7-98ab-c00f82c90a75,eb642b63-39fe-4ca9-977d-66febd42a382,courses,courses,rapido-shower-frame-installation-overview,collections/rapido-shower-frame-installation-overview
582200,4982e15c-097b-489d-be24-a6f3f068c62d,aebd7c3b-db47-4446-9dc3-75063ac8accf,courses,courses,rapid-slx-installation-overview,collections/rapid-slx-installation-overview
24496630,972c2e83-c72f-4303-8d39-5c5370279fcb,2d735313-0ed9-4a55-bd42-9b28f3c1627a,courses,courses,salesforce-event-managament,collections/salesforce-event-managament
24442316,956126e3-063c-42ea-9512-555592570300,c1ff23ad-6520-4f19-bfe6-f45078c35008,courses,courses,salesforce-landingpage,collections/salesforce-landingpage
24501913,45e19c6c-dee8-4908-9303-648eea2e2af4,6c9cd1a6-98cd-4f29-b3a8-8b7b8c6c76d2,courses,courses,salesforce-visit-management,collections/salesforce-visit-management
2109982,ce77f27c-45ee-4a45-b455-e4b2ce64a4f8,a1ff9e68-b519-41e2-893b-887755a3ff44,courses,courses,selling-grohe-spa-consumers-landingpage,collections/selling-grohe-spa-consumers-landingpage
2105587,ca280dbd-2b06-41ba-97c0-06b9faca5b10,80c20958-4852-4a65-9621-948eba4031e4,courses,courses,selling-grohe-spa-showroom-landingpage,collections/selling-grohe-spa-showroom-landingpage
582607,e3a23353-de48-4ae3-88fc-151b4b75f511,aab3f9a3-e434-4629-bed7-4b8e822875c8,courses,courses,sensia-arena-installation-overview,collections/sensia-arena-installation-overview
23294048,527e0255-57e2-4fdc-8246-05f2e1e2f79f,dde81f05-c2a4-4146-9210-fd40f996ea66,courses,courses,sensia-pro,collections/sensia-pro
23484873,b72b9f0f-b350-448b-931d-f5ba621da8dd,623f8efe-624c-4dfb-b48d-b19619928544,courses,courses,sensia-pro-installation-overview,collections/sensia-pro-installation-overview
23504709,758ede5c-9ce9-4375-b068-64d92c23f4ff,c7e1f369-fa51-4a54-872f-ebf2c314ff50,courses,courses,test-kurse,collections/test-kurse
8379251,650bb9d2-fd4b-44a8-a2f5-c211a86352b0,f3bec2d4-e95f-4f12-adca-d6181e509f56,courses,courses,the-grohtherm-thermostats,collections/the-grohtherm-thermostats
24619198,76f6a2b3-1c31-49b3-a2fb-7260a8640585,ffc9d3e3-d129-49e2-9570-0c69daacad48,courses,courses,watersystems,collections/watersystems
24518706,a3efef2c-7640-4ebb-83d5-7def3e2a2609,eb06c29a-f86d-44eb-b022-58854dd0e5d6,courses,courses,welcome-to-the-grohe-blue-red-in-one,collections/welcome-to-the-grohe-blue-red-in-one
11,2897fa05-5c99-48e6-bb1b-0a40570b3ebd,4b387bbc-3f4f-4c24-841d-415cfb35563a,dataProtection,dataProtection,privacy-policy,data-protection
6,03b4ce50-01ed-482e-8580-f6e738d9b8f8,77211880-c508-42db-9bb2-9c98ccdc83ff,homepage,homepage,homepage,__home__
9,8393f3d9-16e7-492d-9c29-e8a0f9c98c38,6a6def2b-616f-4a5e-ab21-9a342b9293e8,imprint,imprint,imprint,imprint
24353452,c0eee1e1-d7fb-4190-82c2-14a7a9bc0b03,321f54b7-91b6-46fe-8492-bd49fbde1575,lessons,lessons,ag-discover-matching-spa-products,nuggets/ag-discover-matching-spa-products
24355178,4d4bf1bc-791a-42c6-ad18-a2033fbb71a5,c91bde3a-ad8e-417d-9703-5d6cf07de361,lessons,lessons,ag-range-overview,nuggets/ag-range-overview
24358677,7f5f4582-f298-433f-bea0-607078eff313,88a4b9a1-887a-4a45-9f94-d97d7fa037f3,lessons,lessons,ag-range-overview-2,nuggets/ag-range-overview-2
24344162,0a0188bd-defe-4549-bb46-853217d5a7a1,0367da37-6b88-4b72-9eb0-e79dffaf264d,lessons,lessons,ag-reddot-external,nuggets/ag-reddot-external
24343741,ed76ef95-6cea-483d-86af-fd850daf1b30,82ac957a-d868-44b9-85dc-51059ce08136,lessons,lessons,ag-reddot-internal,nuggets/ag-reddot-internal
56271,42d8d444-53b9-4c30-80ff-66fc0c086bf2,9e3bf44d-6540-466b-953f-05c64ff66898,lessons,lessons,a-link-between-wood-and-stone,nuggets/a-link-between-wood-and-stone
55064,de02fb4f-d9a2-42a9-8cd1-5d3d006512f7,2ff20957-8105-4d96-a8f2-28f17905e070,lessons,lessons,allure-bath-zone,nuggets/allure-bath-zone
49879,cb65a648-aed3-4add-9b87-43ac2afd08ef,fbfc1bce-dba8-4c03-9a64-20a2cae332d2,lessons,lessons,allure-bath-zone-products,nuggets/allure-bath-zone-products
55561,1a266467-87c9-444f-8aa7-87909f6c54e1,dba8c982-3f18-4d5d-b000-cb1816201ba4,lessons,lessons,allure-colours,nuggets/allure-colours
55426,552cc1ee-f90e-4584-a9b5-97af338fb2b2,f75561cd-b43b-4bcb-baef-ef6fbff64250,lessons,lessons,allure-colours-quote,nuggets/allure-colours-quote
37650,a30c3683-a9e5-4d99-b785-b6ee3631b66d,ddeaec4a-2999-45c3-aed2-07fc4cde1141,lessons,lessons,allure-comfort,nuggets/allure-comfort
101286,e9996a1e-55c4-4c84-9ace-73bd811e2708,59f56569-ade4-41e3-a12c-6b1906630b6a,lessons,lessons,allure-compact-colours-pvd,nuggets/allure-compact-colours-pvd
27513,78e7d709-0242-4acb-97bf-b56d6dc26a50,da67b817-3829-45cd-b89d-2df896cc2309,lessons,lessons,allure-evolution,nuggets/allure-evolution
57597,02984f13-1b35-4ae0-9559-a139b9aad3b8,02e88bf7-5287-4779-8bee-ba169ddcf699,lessons,lessons,allure-key-takeaways,nuggets/allure-key-takeaways
210284,65ee6f29-63e9-4816-9475-e4970111ef52,48cf7c4c-5d59-420e-bb6b-258fc773841c,lessons,lessons,allure-key-takeaways-2,nuggets/allure-key-takeaways-2
360794,126d6ce1-ce80-4ae1-bbae-7a64c0260370,fedbca37-042e-4928-a68a-6f62ad38c10e,lessons,lessons,allure-material-to-go,nuggets/allure-material-to-go
362159,58185ed0-c152-4fdd-93db-65fc3ff78e42,80c9213a-c40f-4235-9f6a-cac23075dc37,lessons,lessons,allure-material-to-go-2,nuggets/allure-material-to-go-2
28561,9033b737-ecf6-4947-960f-7f1d5617c88c,1794e091-bac9-4c21-a5f2-c7407de371ef,lessons,lessons,allure-our-mission,nuggets/allure-our-mission
39188,591d3e94-8e6c-446b-8143-a84c6bec2d20,8242a7c7-9b84-480d-b39c-15b9e5561e0a,lessons,lessons,allure-product-overview,nuggets/allure-product-overview
54863,ecddcc98-cd5d-41e2-8ca1-45da65787563,480946c4-6a90-4447-aa82-2f222e153c19,lessons,lessons,allure-shower-zone,nuggets/allure-shower-zone
47928,65f7e701-db3d-480f-881c-d722cbe4634f,9704105b-9664-4c03-b523-045dc8858d87,lessons,lessons,allure-shower-zone-products,nuggets/allure-shower-zone-products
33940,02491d4e-d381-46fc-a1f6-bd553ff9afeb,2c03ac6b-d9cc-4c5f-bda4-b17c5661a008,lessons,lessons,allure-the-new-design,nuggets/allure-the-new-design
55245,59c51ca7-a190-46f7-9b65-a53df477d276,06a89dc9-78b9-480a-a0fc-85f344f95053,lessons,lessons,allure-toilet-zone,nuggets/allure-toilet-zone
45905,291364d9-41b1-4f33-bade-89e2fbe13c14,172fc20b-dbf8-4017-8e8a-43fdf02c2b05,lessons,lessons,allure-toilet-zone-products,nuggets/allure-toilet-zone-products
54589,e9f411b9-a217-4ff7-913d-e047b57c80fc,9387a12b-8a4a-4f26-a6ea-bd19b3415edb,lessons,lessons,allure-vanity-zone,nuggets/allure-vanity-zone
40935,2cd55254-8e10-4187-8c63-8c7bb99f935d,68d85488-4cd7-43a4-ad2d-62a81ea6ed79,lessons,lessons,allure-vanity-zone-products,nuggets/allure-vanity-zone-products
24486844,f32f40b7-9777-4299-818d-8693ea1043d5,652ed1cf-2da4-4a50-b1f2-fbdcd8437b5c,lessons,lessons,aqua-tiles-colors-full,nuggets/aqua-tiles-colors-full
24487360,6dae4b1a-bd52-4de6-aed3-5ab6fb96f067,0656cc3f-26ff-4eab-8451-09cdaae7071e,lessons,lessons,aqua-tiles-colors-launch,nuggets/aqua-tiles-colors-launch
24489851,a0420211-8ee5-4311-9c86-e999da3013b4,499a54f8-dd84-45d9-9896-75a32cb16900,lessons,lessons,aqua-tiles-matching-products,nuggets/aqua-tiles-matching-products
8636657,65719aa0-b3d0-4518-b033-5096454c54a4,3bd0b5a9-61e1-4c27-9fa3-81b59408e3a2,lessons,lessons,atrio,nuggets/atrio
8643314,f8396584-09a4-4ebe-816b-13d8f38fc17e,f755c3cd-8075-41a2-a6c4-3bf44f116f47,lessons,lessons,atrio-atrio-design-attributes-hotspot-1,nuggets/atrio-atrio-design-attributes-hotspot-1
8644455,368c6547-7f8c-40af-bc9d-63d3315975ab,63077dd0-53ce-4774-9ec3-d0b8b0cc10a0,lessons,lessons,atrio-atrio-design-attributes-hotspot-2,nuggets/atrio-atrio-design-attributes-hotspot-2
8645087,2f13dd57-aa96-46e8-ac2d-b4070e08f35d,229beed1-574b-4f76-8039-2d2b6fa82425,lessons,lessons,atrio-atrio-design-attributes-hotspot-3,nuggets/atrio-atrio-design-attributes-hotspot-3
